id,year,politicalparty,majortopic,subtopic,sentence text
1,1982,PSOE,20,2012,Las próximas elecciones generales serán una buena ocasión para que los ciudadanos españoles recuperen su protagonismo directo y relancen su voluntad de progreso y de solidaridad 
2,1982,PSOE,20,2012,El 28 de octubre al tiempo que se elige a los representantes del pueblo en las Cortes Generales se depositará la confianza en un nuevo equipo que garantice la puesta en práctica de esa voluntad de cambio
3,1982,PSOE,20,2099,La gran mayoría de los españoles es consciente de que sus esperanzas de modernización y de transparencia de las estructuras del Estado de la sociedad y de la economía han sido repetidamente frustradas por la vacilante política de los gobiernos recientes que han contemporizado con los grupos más reaccionarios y egoístas preocupándose más de sus propias disensiones internas que de los auténticos problemas de la sociedad
4,1982,PSOE,20,2099,Los ciudadanos han constatado día a día cómo esos equipos de gobierno han ido perdiendo la iniciativa enredándose en prácticas oportunistas hasta quedar paralizados 
5,1982,PSOE,20,2011,Por ello cuando las señales de agotamiento se hicieron evidentes los socialistas avisamos seriamente al Ejecutivo mediante la Moción de Censura advertencia que fue ignorada
6,1982,PSOE,20,2099,Esa actuación llena de indecisiones y falta de coherencia que ha imposibilitado el saneamiento de las estructuras políticas sociales y económicas ha agudizado aún más la necesidad de cambio que el país siente
7,1982,PSOE,20,2099,Esa necesidad de cambio viene de lejos puesto que la sociedad española sigue soportando una inaceptable desigualdad social cultural y económica y se ha hecho más intensa porque se han perdido unos años preciosos para atajar estos males endémicos 
8,1982,PSOE,20,2099,Nuestro ordenamiento constitucional plasmó con total acierto un modelo de convivencia social de libertades y derechos individuales y colectivos que ofrece el marco ideal para modernizar el país marco que no ha sido aprovechado por las fuerzas políticas y sociales que han detentado el poder en las anteriores legislaturas 
9,1982,PSOE,20,2099,El Partido Socialista ha sabido durante todo este período de tiempo conjugar el lícito e imprescindible papel de oposición con el de facilitar responsablemente la gobernación y la estabilidad de las instituciones del país dentro del espíritu pacificador y constructivo que la Corona ha promovido en armonía con el sentir del pueblo
10,1982,PSOE,20,2099,Los españoles tenemos que superar la parálisis política actual salir de la crisis económica¡ desarrollar plenamente la estructura democrática del Estado y las libertades garantizadas por la Constitución así como racionalizar el ineficaz aparato de la Administración Pública para luchar contra el paro y las desigualdades sociales
11,1982,PSOE,20,2012,El Partido Socialista consciente de estos difíciles problemas y de que en torno a él se han ido concentrando muy variadas esperanzas ha integrado con rigor esas justas aspiraciones en un proyecto coherente que se ha concretado tras dos años de trabajo de cientos de técnicos y de diálogo intenso con todos los sectores sociales en un detallado programa de gobierno del cual se han seleccionado las líneas de acción y las medidas más esenciales para ofrecer a la ciudadanía este Programa Electoral
12,1982,PSOE,1,100,En cuanto a la crisis económica se ha demostrado claramente que las vías conservadoras puestas en práctica no sólo no han solucionado nada sino que la han agravado] 
13,1982,PSOE,1,100,La política de los anteriores gobiernos basada en elevar los precios rebajar sistemáticamente los costes de la mano de obra reducir los salarios reales o las plantillas y transferir los costes de ineficacia de los aparatos productivos regresivos hacia los dinámicos no ha logrado estimular la inversión y ha tenido un efecto depresivo sobre la demanda presentando el pavoroso balance de más de dos millones de parados a un ritmo de mil diarios en 1981
14,1982,PSOE,1,100,Es absurdo pensar que el país puede seguir soportando una política cuyos únicos resultados son el mantenimiento de estructuras de poder económico político y social caducas a costa de desempleo de reducciones salariales y de una política presupuestaria regresiva
15,1982,PSOE,20,2001,Respecto a la urgente necesidad de desarrollar todos los aspectos de la Constitución tanto en lo que se refiere a la estructuración definitiva del Estado de las Autonomías como en todo lo referente a las libertades y derechos personales y sociales el resultado no puede ser más menguado 
