party_election,d2v_d1,d2v_d2
FDP_1998,-1.9440852,-0.002110934
Die Grünen_2013,16.117239,-0.07501461
SPD_2002,-8.798409,0.0061023445
CDU/CSU_2009,-0.12503356,-0.0053220736
Die Grünen_2021,16.324297,0.0621812
CDU/CSU_2002,-5.4263606,0.0021820834
CDU/CSU_1998,-5.6932106,0.0029676806
PDS/Die Linke_2002,-9.424675,0.0055016875
PDS/Die Linke_2021,12.777112,-0.025359975
Die Grünen_2002,5.8440895,-0.01869404
PDS/Die Linke_1998,-3.320459,-0.0005363958
PDS/Die Linke_2009,-4.2340083,0.0012049513
SPD_2009,-0.9259704,-0.0046700067
CDU/CSU_2013,2.6009903,-0.010196025
CDU/CSU_2017,0.36292124,0.0010281684
CDU/CSU_2021,5.4411383,0.0007287323
FDP_2013,1.2921623,-0.00787125
Die Grünen_2017,15.695625,0.11384471
SPD_2021,-0.16429648,0.004492628
PDS/Die Linke_2013,4.510627,-0.0162146
CDU/CSU_2005,-9.10653,0.008733288
FDP_2005,-4.886056,0.0012309527
PDS/Die Linke_2005,-9.310714,0.008744628
FDP_2002,-7.101751,0.0049167187
SPD_2017,1.1798912,-0.006948668
Die Grünen_1998,6.5740914,-0.028634395
SPD_2013,2.1568024,-0.0056063808
AfD_2017,-9.321458,0.006606023
Die Grünen_2005,2.2046764,-0.0044609425
SPD_1998,-4.4229045,0.0022760488
PDS/Die Linke_2017,5.380247,-0.013739078
Die Grünen_2009,10.6128,-0.013653629
FDP_2021,4.161222,-0.008255041
FDP_2009,-1.26521,-0.00554511
AfD_2013,-13.352402,0.010089758
SPD_2005,-5.82133,0.005127492
AfD_2021,-5.6027913,0.0029448238
FDP_2017,-2.9882672,0.0019285949
