party_election,d2v_d1,d2v_d2
PDS/Die Linke_1998,7.0506506,-0.0027936879
AfD_2021,-1.4439596,0.0016156893
CDU/CSU_1998,9.783324,-0.0019042955
PDS/Die Linke_2021,-9.635858,-0.07123382
Die Grünen_2005,3.8408902,-0.00042256594
CDU/CSU_2013,-4.5687795,0.02185676
PDS/Die Linke_2009,0.68359745,-0.0107214395
FDP_2013,-5.375341,0.01220001
Die Grünen_2002,6.7015343,0.00033164633
SPD_2009,-1.0990458,-0.004500501
CDU/CSU_2017,1.4720625,0.0042595603
Die Grünen_1998,2.1714478,-0.0040910016
CDU/CSU_2009,0.11411185,0.0054514008
PDS/Die Linke_2017,-10.496181,-0.060581133
SPD_2021,3.0976968,-0.004460547
Die Grünen_2021,-8.016233,-0.022094823
FDP_2017,-9.362485,0.13460104
Die Grünen_2013,-10.419037,-0.023355797
SPD_2017,-3.5742931,0.003255341
CDU/CSU_2005,7.419644,0.0006304109
SPD_2013,-6.528427,-0.002904485
AfD_2017,1.4967767,-0.0018396679
SPD_2002,6.1751885,-0.0020412104
PDS/Die Linke_2005,11.54845,-0.0047654924
FDP_2009,-7.275907,0.019940015
SPD_2005,9.629284,-0.0007577213
Die Grünen_2017,-8.799349,-0.015217687
CDU/CSU_2021,-4.742287,0.018704949
SPD_1998,6.667442,-0.0030168986
PDS/Die Linke_2002,9.127223,-0.004078203
PDS/Die Linke_2013,-3.8430393,-0.025702473
Die Grünen_2009,-6.597142,-0.009055926
CDU/CSU_2002,3.9117026,0.0013060069
FDP_2005,1.1396879,0.0053779487
FDP_2002,-2.2004085,0.010635665
FDP_1998,-0.79924065,0.008845107
FDP_2021,-2.8323977,0.031963926
AfD_2013,15.578688,-0.005436143
