party_election,d2v_d1,d2v_d2
Die Grünen_2021,0.91861176,-0.0063224924
CDU/CSU_2009,1.077754,-0.007517703
SPD_2002,-0.67583364,0.00036564705
FDP_1998,-0.20849167,-0.0020837598
FDP_2005,-1.2701689,0.003027898
SPD_2005,-1.3004179,0.0044068513
CDU/CSU_1998,-0.7902725,-0.0018113324
FDP_2009,-1.1813446,0.0030242351
SPD_2017,0.6378621,-0.007773447
Die Grünen_2013,3.9805071,-0.028892014
AfD_2021,6.071055,0.054181743
FDP_2017,-0.7358107,0.0020017675
FDP_2021,-0.3657927,0.0010585454
AfD_2017,4.4796066,-0.008367541
FDP_2013,0.75444263,-0.0089271385
Die Grünen_2017,1.2859211,-0.011940173
PDS/Die Linke_2017,-0.18937917,-0.0021143781
PDS/Die Linke_1998,-1.4339945,0.004227376
PDS/Die Linke_2013,0.31915823,0.003013228
CDU/CSU_2021,1.9971046,-0.0072541633
SPD_2009,-1.1349646,0.0021371
CDU/CSU_2017,1.6550204,-0.013443153
Die Grünen_1998,0.42884514,-0.0049722036
Die Grünen_2005,-1.5249052,0.008310456
Die Grünen_2009,-0.6191405,-0.001589436
PDS/Die Linke_2021,-0.25147164,0.00087878766
SPD_2021,-0.52660674,0.0008440518
PDS/Die Linke_2009,-1.0228189,0.003503238
PDS/Die Linke_2005,-1.8306366,0.008051457
AfD_2013,-1.9697558,0.0075505665
CDU/CSU_2002,0.39793554,-0.004421128
CDU/CSU_2013,0.3661496,-0.0073235533
Die Grünen_2002,-1.5496114,0.005070111
SPD_2013,-0.7493414,-0.0015362233
PDS/Die Linke_2002,-1.6713738,0.0034211306
SPD_1998,-1.5309763,0.0055624708
CDU/CSU_2005,-0.9204848,9.8667566e-05
FDP_2002,-0.9163783,0.0055539655
