party_election,d2v_d1,d2v_d2
SPD_2009,-4.5481324,-0.003134004
SPD_1998,-2.7431736,-0.0023129468
FDP_2017,0.7468608,0.0023279486
Die Grünen_2013,9.926101,0.017192338
Die Grünen_2017,5.625465,0.015375114
FDP_2021,3.4805655,0.0038313903
CDU/CSU_2013,2.1678514,0.008635568
SPD_2005,-7.5882697,0.00029271492
PDS/Die Linke_2002,-0.66761315,-0.0033250924
Die Grünen_2009,0.19774221,0.0012817696
PDS/Die Linke_2021,14.110053,-0.042126976
CDU/CSU_2021,6.968607,0.005812623
PDS/Die Linke_2013,7.402998,-0.014156952
FDP_1998,-0.37100834,-0.0042171087
Die Grünen_2021,12.734949,0.060768113
CDU/CSU_2017,-2.723398,0.00052985444
CDU/CSU_2009,-7.344056,-0.00015540604
Die Grünen_2005,-1.780811,0.00026128095
CDU/CSU_1998,-5.9337745,-0.0016709492
FDP_2013,-2.164914,-0.0020127972
PDS/Die Linke_2017,11.892652,-0.04570303
PDS/Die Linke_1998,-0.34688687,-0.0036185416
CDU/CSU_2002,-1.7114304,0.0010525505
AfD_2021,-1.0868694,-0.00033660376
FDP_2002,2.5092263,0.0015422303
Die Grünen_1998,2.6108098,-0.006919697
SPD_2017,2.3260493,0.0006092851
SPD_2021,4.4329066,0.012026155
SPD_2013,4.918026,0.00012555381
FDP_2009,-2.6806846,0.0003311758
FDP_2005,-6.5763626,-0.002133104
SPD_2002,-3.0056372,0.0031956034
Die Grünen_2002,-2.5553732,0.00535611
PDS/Die Linke_2005,-5.986001,-0.0029318202
PDS/Die Linke_2009,-6.1951833,-0.0013657565
CDU/CSU_2005,-9.221601,-0.0006541319
AfD_2017,-6.392998,-0.00017317758
AfD_2013,-10.426686,-0.003599878
