,text,election,code,pos,party_code,country_code,party,country,name,name_english,code_extract,sentiment,country_party_election_sentiment,country_party_election_code,party_agg
0,"Sie haben die Wahl zwischen dem Erhalt unserer natürlichen Lebensgrundlagen und dem Wachstum der Klimakatastrophe,",1998,416,33,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
1,"BÜNDNIS 90/DIE GRÜNEN stehen für Nachhaltigkeit,",1998,416,36,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
2,Wir wollen die Bundesrepublik ökologisch modernisieren,1998,416,40,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
3,Tatsächlich hat die Bundesrepublik von der Globalisierung profitiert,1998,410,60,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,410,right,Germany_Bündnis‘90/Die Grünen_1998_right,Germany_Bündnis‘90/Die Grünen_1998_410,Die Grünen
4,Sie wurde Exportvizeweltmeister,1998,410,61,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,410,right,Germany_Bündnis‘90/Die Grünen_1998_right,Germany_Bündnis‘90/Die Grünen_1998_410,Die Grünen
5,Der Preis dafür ist hoch,1998,416,62,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
6,Deutschland belastet die Erdatmosphäre durch klimaschädliche Emissionen,1998,501,66,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
7,Die Bundesregierung fördert den Auto- und Flugverkehr durch hohe Subventionen,1998,501,67,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
8,"Sie betreibt, gegen den Willen der Mehrheit der Bevölkerung, weiter Atomkraftwerke und produziert Atommüll",1998,416,68,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
9,Die Wachstumsgesellschaft stößt an ihre Grenzen: ökologisch und ökonomisch,1998,416,158,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
10,Längst sind die Auswirkungen lokaler Umweltdesaster global – und das nicht erst seit dem Supergau von Tschernobyl oder der Ökokatastrophe im Herbst 1997 in Asien,1998,501,159,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
11,Die ökologischen Kosten des Wachstums werden weltweit spürbar,1998,416,160,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
