country_party_election,d2v_d1,d2v_d2,country,party,election
Sweden_11110_2006,4.006925,-0.8634458,Sweden,11110,2006
Sweden_11220_2006,3.0524004,1.5582613,Sweden,11220,2006
Sweden_11320_2006,3.0335054,0.8147152,Sweden,11320,2006
Sweden_11420_2006,2.0068386,2.9604454,Sweden,11420,2006
Sweden_11520_2006,3.4996183,-0.51360416,Sweden,11520,2006
Sweden_11620_2006,1.1947011,5.621316,Sweden,11620,2006
Sweden_11810_2006,2.3048515,1.700826,Sweden,11810,2006
Sweden_11110_2010,3.426315,0.044725917,Sweden,11110,2010
Sweden_11220_2010,4.29355,-0.9130198,Sweden,11220,2010
Sweden_11320_2010,3.5384786,-0.31861126,Sweden,11320,2010
Sweden_11420_2010,2.2832468,2.9789934,Sweden,11420,2010
Sweden_11520_2010,2.6498177,1.4348089,Sweden,11520,2010
Sweden_11620_2010,0.3984821,6.187959,Sweden,11620,2010
Sweden_11710_2010,4.2235947,-1.3681786,Sweden,11710,2010
Sweden_11810_2010,2.2274597,2.9564252,Sweden,11810,2010
Sweden_11110_2014,2.2197201,0.26760325,Sweden,11110,2014
Sweden_11220_2014,2.591677,-0.40228155,Sweden,11220,2014
Sweden_11320_2014,1.9175663,1.5390954,Sweden,11320,2014
Sweden_11420_2014,2.8932295,-0.43952152,Sweden,11420,2014
Sweden_11520_2014,2.1191056,0.51253724,Sweden,11520,2014
Sweden_11620_2014,0.3177388,6.80726,Sweden,11620,2014
Sweden_11710_2014,3.3678808,-0.5350691,Sweden,11710,2014
Sweden_11810_2014,2.3470376,1.9904622,Sweden,11810,2014
Sweden_11110_2018,3.2525864,0.2858329,Sweden,11110,2018
Sweden_11220_2018,3.505145,-0.13000451,Sweden,11220,2018
Sweden_11320_2018,3.5390155,-0.5340289,Sweden,11320,2018
Sweden_11420_2018,3.0133097,0.91949475,Sweden,11420,2018
Sweden_11520_2018,5.5210466,-1.8976442,Sweden,11520,2018
Sweden_11620_2018,2.655827,2.4971719,Sweden,11620,2018
Sweden_11710_2018,3.2916863,-0.26493353,Sweden,11710,2018
Sweden_11810_2018,3.2555716,0.75447446,Sweden,11810,2018
Sweden_11110_2022,4.7077694,-1.4033351,Sweden,11110,2022
Sweden_11220_2022,2.5202765,1.4339757,Sweden,11220,2022
Sweden_11320_2022,2.6449919,1.0397372,Sweden,11320,2022
Sweden_11420_2022,2.271093,2.173113,Sweden,11420,2022
Sweden_11520_2022,4.547707,-1.430011,Sweden,11520,2022
Sweden_11620_2022,1.7443099,2.4967456,Sweden,11620,2022
Sweden_11710_2022,0.6908299,6.12057,Sweden,11710,2022
Sweden_11810_2022,1.6924403,2.4279296,Sweden,11810,2022
Norway_12221_2005,-1.74855,13.268154,Norway,12221,2005
Norway_12320_2005,-1.166017,12.78345,Norway,12320,2005
Norway_12420_2005,-2.4215062,17.013918,Norway,12420,2005
Norway_12520_2005,-0.44275072,11.14943,Norway,12520,2005
Norway_12620_2005,-1.907675,14.17456,Norway,12620,2005
Norway_12810_2005,-4.792797,20.005354,Norway,12810,2005
Norway_12951_2005,-4.6695714,18.578844,Norway,12951,2005
Norway_12221_2009,-1.2274072,12.343098,Norway,12221,2009
Norway_12320_2009,0.48956916,9.570582,Norway,12320,2009
Norway_12420_2009,-1.2044176,12.41333,Norway,12420,2009
Norway_12520_2009,-0.4162798,10.138671,Norway,12520,2009
Norway_12620_2009,0.44779754,8.768329,Norway,12620,2009
Norway_12810_2009,-2.6245518,14.950722,Norway,12810,2009
Norway_12951_2009,-0.8777098,10.7648115,Norway,12951,2009
Norway_12110_2013,1.3898041,6.44974,Norway,12110,2013
Norway_12221_2013,-2.8914669,15.734135,Norway,12221,2013
Norway_12320_2013,-2.4238927,15.024024,Norway,12320,2013
Norway_12420_2013,-2.4157035,13.719569,Norway,12420,2013
Norway_12520_2013,-2.3101919,13.702259,Norway,12520,2013
Norway_12620_2013,-0.9575461,12.267196,Norway,12620,2013
Norway_12810_2013,-1.2024208,11.540253,Norway,12810,2013
Norway_12951_2013,-1.6530184,11.5866585,Norway,12951,2013
Norway_12110_2017,-3.6906557,15.426872,Norway,12110,2017
Norway_12221_2017,-3.0337334,15.807116,Norway,12221,2017
Norway_12230_2017,-1.9356477,13.124202,Norway,12230,2017
Norway_12320_2017,-4.4993796,16.592047,Norway,12320,2017
Norway_12420_2017,-5.1250734,20.599005,Norway,12420,2017
Norway_12520_2017,-5.2038155,17.85117,Norway,12520,2017
Norway_12620_2017,-3.2754283,17.565886,Norway,12620,2017
Norway_12810_2017,-3.2489917,14.319923,Norway,12810,2017
Norway_12951_2017,-4.293403,15.605392,Norway,12951,2017
Denmark_13229_1998,4.5504913,-0.9454471,Denmark,13229,1998
Denmark_13230_1998,4.2908587,-0.5049428,Denmark,13230,1998
Denmark_13320_1998,3.5291378,0.042356074,Denmark,13320,1998
Denmark_13330_1998,3.2642941,1.1596009,Denmark,13330,1998
Denmark_13410_1998,4.066359,-1.1210605,Denmark,13410,1998
Denmark_13420_1998,4.363209,-0.6349819,Denmark,13420,1998
Denmark_13520_1998,5.4762535,-2.002487,Denmark,13520,1998
Denmark_13620_1998,3.1430104,0.8895997,Denmark,13620,1998
Denmark_13720_1998,5.020929,-1.5853289,Denmark,13720,1998
Denmark_13951_1998,5.043162,-1.508158,Denmark,13951,1998
Denmark_13320_2001,1.969464,3.9736195,Denmark,13320,2001
Denmark_13229_2005,4.026022,-0.6747328,Denmark,13229,2005
Denmark_13230_2005,3.775212,-0.07220548,Denmark,13230,2005
Denmark_13320_2005,3.156375,1.9733078,Denmark,13320,2005
Denmark_13330_2005,4.4987454,-1.0622088,Denmark,13330,2005
Denmark_13410_2005,5.174988,-1.4852937,Denmark,13410,2005
Denmark_13420_2005,2.38959,3.3966436,Denmark,13420,2005
Denmark_13520_2005,3.9204698,-0.6418302,Denmark,13520,2005
Denmark_13620_2005,3.8305726,-0.31843132,Denmark,13620,2005
Denmark_13720_2005,5.4092603,-1.9739178,Denmark,13720,2005
Denmark_13001_2007,4.4869394,-1.2331892,Denmark,13001,2007
Denmark_13229_2007,2.437996,3.6538844,Denmark,13229,2007
Denmark_13230_2007,4.141058,-0.56251717,Denmark,13230,2007
Denmark_13320_2007,3.4909246,0.041491922,Denmark,13320,2007
Denmark_13410_2007,5.025829,-1.4745096,Denmark,13410,2007
Denmark_13420_2007,3.0991406,0.85298765,Denmark,13420,2007
Denmark_13620_2007,4.210456,-0.7940727,Denmark,13620,2007
Denmark_13001_2011,4.16597,-0.689017,Denmark,13001,2011
Denmark_13229_2011,1.5837166,8.156022,Denmark,13229,2011
Denmark_13230_2011,1.8244348,5.532227,Denmark,13230,2011
