party_election,d2v_d1,d2v_d2
41113_1998,-3.2966518,-0.04411979
41221_1998,6.331898,0.0152797615
41320_1998,7.311189,0.0063281404
41420_1998,-0.71763754,-0.014000682
41521_1998,10.313868,0.01895524
41113_2002,-4.321225,-0.0541671
41221_2002,10.054688,0.024430636
41320_2002,9.117015,0.01688222
41420_2002,4.1489115,-0.006734875
41521_2002,3.003336,-0.0066790082
41113_2005,-6.485425,-0.05101833
41222_2005,5.305879,0.007250447
41320_2005,4.518436,0.019307328
41420_2005,2.795475,-0.006453709
41521_2005,7.664324,0.008142377
41113_2009,-9.260509,-0.20855705
41223_2009,-0.9658342,0.0072502773
41320_2009,-2.6965237,-0.025722245
41420_2009,-4.414918,-0.013451059
41521_2009,-2.0080996,-0.016235396
41113_2013,-9.260982,0.8415903
41223_2013,-5.3881583,0.013077219
41320_2013,-4.3947225,0.010243933
41420_2013,-2.4464989,-0.0030022785
41521_2013,-3.2194161,-0.0028934341
41952_2013,-4.716357,-0.01524072
41113_2017,-9.080261,-0.114522904
41223_2017,-2.0723643,-0.0064731985
41320_2017,1.6606708,-0.011784918
41420_2017,5.559321,0.0075979624
41521_2017,3.6400433,0.0025853305
41953_2017,10.095687,0.018916197
41113_2021,-8.412638,-0.24045339
41223_2021,-5.8134003,-0.080055125
41320_2021,4.35151,0.0020722263
41420_2021,-2.8897007,-0.025296034
41521_2021,-3.7293627,-0.03813231
41912_2021,-4.3600483,-0.03651118
41953_2021,4.078473,0.0015933942
