country_party_election,d2v_d1,d2v_d2,country,party,election
Sweden_11110_2006,4.354959,2.0431838,Sweden,11110,2006
Sweden_11220_2006,5.730698,2.3548603,Sweden,11220,2006
Sweden_11320_2006,6.0855117,2.6192734,Sweden,11320,2006
Sweden_11420_2006,2.9907877,1.2798182,Sweden,11420,2006
Sweden_11520_2006,7.461372,3.1942098,Sweden,11520,2006
Sweden_11620_2006,1.0508554,0.40656638,Sweden,11620,2006
Sweden_11810_2006,1.8816023,0.85207385,Sweden,11810,2006
Sweden_11110_2010,2.2358253,1.5340478,Sweden,11110,2010
Sweden_11220_2010,4.4984403,2.0037935,Sweden,11220,2010
Sweden_11320_2010,9.243314,3.8975027,Sweden,11320,2010
Sweden_11420_2010,1.3352144,0.7744541,Sweden,11420,2010
Sweden_11520_2010,4.4407053,2.1726441,Sweden,11520,2010
Sweden_11620_2010,0.011859414,0.6527052,Sweden,11620,2010
Sweden_11710_2010,6.181411,2.6844273,Sweden,11710,2010
Sweden_11810_2010,-1.0044165,0.2442113,Sweden,11810,2010
Sweden_11110_2014,0.12855008,0.7776246,Sweden,11110,2014
Sweden_11220_2014,3.0198343,1.5727433,Sweden,11220,2014
Sweden_11320_2014,3.7900004,1.9385965,Sweden,11320,2014
Sweden_11420_2014,2.4586926,1.6977427,Sweden,11420,2014
Sweden_11520_2014,1.8204535,0.97075075,Sweden,11520,2014
Sweden_11620_2014,-3.4594421,0.19561037,Sweden,11620,2014
Sweden_11710_2014,3.6171215,1.8324497,Sweden,11710,2014
Sweden_11810_2014,-4.0671225,0.45752817,Sweden,11810,2014
Sweden_11110_2018,-3.3182929,0.94955915,Sweden,11110,2018
Sweden_11220_2018,0.5815446,0.7833014,Sweden,11220,2018
Sweden_11320_2018,4.422881,2.198237,Sweden,11320,2018
Sweden_11420_2018,0.8349546,0.80080986,Sweden,11420,2018
Sweden_11620_2018,-2.0204225,0.4886445,Sweden,11620,2018
Sweden_11710_2018,2.5739625,1.3833888,Sweden,11710,2018
Sweden_11810_2018,-0.3754085,0.5737116,Sweden,11810,2018
Sweden_11110_2022,0.667069,0.98400015,Sweden,11110,2022
Sweden_11220_2022,0.60392857,0.6673535,Sweden,11220,2022
Sweden_11320_2022,3.4996846,1.7099727,Sweden,11320,2022
Sweden_11420_2022,3.311787,1.6156635,Sweden,11420,2022
Sweden_11520_2022,9.363025,3.937211,Sweden,11520,2022
Sweden_11620_2022,0.51891744,0.5316589,Sweden,11620,2022
Sweden_11710_2022,-0.78185016,0.26578,Sweden,11710,2022
Sweden_11810_2022,2.5411394,1.320645,Sweden,11810,2022
Norway_12221_2005,-10.759081,2.8546133,Norway,12221,2005
