country_party_election,d2v_d1,d2v_d2,country,party,election
Sweden_11110_2006,-6.49402,-1.7849294,Sweden,11110,2006
Sweden_11220_2006,-3.968505,-1.1771137,Sweden,11220,2006
Sweden_11320_2006,-5.2499766,-1.5012417,Sweden,11320,2006
Sweden_11420_2006,-5.5130177,-1.6346709,Sweden,11420,2006
Sweden_11620_2006,0.0073309806,-0.17038788,Sweden,11620,2006
Sweden_11810_2006,-5.3363876,-1.5887964,Sweden,11810,2006
Sweden_11110_2010,-6.389011,-1.7189227,Sweden,11110,2010
Sweden_11420_2010,-2.768406,-0.654078,Sweden,11420,2010
Sweden_11520_2010,-6.577934,-1.8129553,Sweden,11520,2010
Sweden_11620_2010,-1.0403109,-0.33783287,Sweden,11620,2010
Sweden_11710_2010,-5.122115,-1.4831787,Sweden,11710,2010
Sweden_11810_2010,-2.113205,-0.84933203,Sweden,11810,2010
Sweden_11110_2014,-5.643416,-1.6145651,Sweden,11110,2014
Sweden_11320_2014,-5.3380146,-1.6009427,Sweden,11320,2014
Sweden_11420_2014,-3.2271092,-0.9248749,Sweden,11420,2014
Sweden_11620_2014,-0.05342103,0.17554869,Sweden,11620,2014
Sweden_11710_2014,-3.1748106,-0.98665875,Sweden,11710,2014
Sweden_11110_2018,-6.0847106,-1.7031305,Sweden,11110,2018
Sweden_11220_2018,-4.70155,-1.3949807,Sweden,11220,2018
Sweden_11320_2018,-3.1670482,-0.9617177,Sweden,11320,2018
Sweden_11420_2018,0.45817497,0.33299673,Sweden,11420,2018
Sweden_11620_2018,-3.6312037,-1.0924438,Sweden,11620,2018
Sweden_11710_2018,-1.5743899,-0.63073254,Sweden,11710,2018
Sweden_11320_2022,-5.4940476,-1.5986735,Sweden,11320,2022
Sweden_11420_2022,-4.392241,-1.1875696,Sweden,11420,2022
Sweden_11620_2022,-1.9280618,-0.5023501,Sweden,11620,2022
Sweden_11710_2022,0.73220146,0.037856728,Sweden,11710,2022
Norway_12221_2005,-0.022145636,-0.076511756,Norway,12221,2005
Norway_12320_2005,0.071196675,-0.0021014095,Norway,12320,2005
Norway_12420_2005,0.21618827,-0.04957537,Norway,12420,2005
Norway_12520_2005,-1.6211145,-0.65053016,Norway,12520,2005
Norway_12620_2005,-0.28229955,-0.10824959,Norway,12620,2005
