party_election,d2v_d1,d2v_d2
41113_1998,-3.4944997,-0.042485677
41221_1998,-0.18670619,0.016395882
41320_1998,-0.13261497,-0.035449434
41420_1998,-0.9317134,-0.046842117
41521_1998,4.8140564,0.011465664
41113_2002,-0.3403608,-0.051938877
41221_2002,-0.46549433,0.0021299608
41320_2002,1.667928,-0.03693204
41420_2002,-3.8403275,-0.08795557
41521_2002,-0.69072175,-0.032921046
41113_2005,-0.73727894,-0.0121136075
41222_2005,3.5332031,0.03524917
41320_2005,8.639192,0.013915846
41420_2005,6.7274346,0.020272823
41521_2005,11.569449,0.030888077
41113_2009,-1.1956699,-0.038381077
41223_2009,3.1504133,0.04307387
41320_2009,3.2008593,-0.018083356
41420_2009,0.7993315,-0.025108276
41521_2009,7.7792687,0.01761883
41113_2013,-4.9532313,-0.37206256
41223_2013,-4.5908303,0.16993643
41320_2013,-4.832998,-0.13426314
41420_2013,-0.09451083,-0.029989615
41521_2013,-2.4422715,-0.09462531
41952_2013,-3.4056823,-0.014585361
41953_2013,15.803793,0.04217262
41113_2017,-4.319354,-0.10115067
41223_2017,-5.5476236,0.5771874
41320_2017,-3.3336213,-0.05775575
41420_2017,-1.7181288,-0.02379385
41521_2017,1.3142741,0.002749764
41953_2017,5.2902513,0.012262886
41113_2021,-6.0935507,-0.28021705
41223_2021,-5.4858575,0.8143499
41320_2021,-3.6892688,-0.07998997
41420_2021,-2.760331,-0.08639256
41521_2021,-4.10057,-0.1412899
41912_2021,-3.7036169,0.02503189
41953_2021,-1.2026256,0.009627212
