party_election,d2v_d1,d2v_d2,party,election,country
53110_2007,-9.989831,13.397822,53110,2007,Ireland
53320_2007,4.9002705,2.6203554,53320,2007,Ireland
53420_2007,5.516174,8.49001,53420,2007,Ireland
53520_2007,12.780046,-1.8719968,53520,2007,Ireland
53620_2007,9.976062,14.687782,53620,2007,Ireland
53951_2007,-16.922903,-9.075747,53951,2007,Ireland
53021_2011,-6.3841095,-4.346476,53021,2011,Ireland
53110_2011,-4.385625,10.441371,53110,2011,Ireland
53230_2011,-4.892544,-2.168029,53230,2011,Ireland
53320_2011,10.73407,-3.3391402,53320,2011,Ireland
53520_2011,18.774118,-19.445843,53520,2011,Ireland
53620_2011,8.923638,4.983776,53620,2011,Ireland
53951_2011,-15.778477,-12.514659,53951,2011,Ireland
53110_2016,-10.78033,17.515095,53110,2016,Ireland
53231_2016,-11.744774,-3.9861386,53231,2016,Ireland
53240_2016,-11.3015,-5.795032,53240,2016,Ireland
53250_2016,-7.0645714,-4.072268,53250,2016,Ireland
53320_2016,12.186371,-6.219786,53320,2016,Ireland
53321_2016,-7.4097676,0.44177234,53321,2016,Ireland
53520_2016,27.699326,-0.44243473,53520,2016,Ireland
53620_2016,9.087713,2.1847527,53620,2016,Ireland
53951_2016,1.495185,-26.657171,53951,2016,Ireland
53981_2016,-1.6723524,0.1965442,53981,2016,Ireland
53110_2020,-9.010605,19.382938,53110,2020,Ireland
53231_2020,-13.22262,-4.6097465,53231,2020,Ireland
53320_2020,1.8480049,-2.335584,53320,2020,Ireland
53321_2020,-5.2242785,5.5924673,53321,2020,Ireland
53520_2020,18.508078,8.356098,53520,2020,Ireland
53620_2020,9.475564,6.092426,53620,2020,Ireland
53951_2020,-7.984454,-15.835203,53951,2020,Ireland
53952_2020,-8.135867,8.332038,53952,2020,Ireland
