country_party_election,d2v_d1,d2v_d2,country,party,election
Sweden_11220_2006,5.031121,0.8165507,Sweden,11220,2006
Sweden_11320_2006,4.4453335,0.6955119,Sweden,11320,2006
Sweden_11420_2006,4.5319343,0.66312087,Sweden,11420,2006
Sweden_11520_2006,6.788732,0.86107683,Sweden,11520,2006
Sweden_11620_2006,3.6121156,0.5267869,Sweden,11620,2006
Sweden_11810_2006,3.5495913,0.5319369,Sweden,11810,2006
Sweden_11220_2010,6.8326645,0.9076448,Sweden,11220,2010
Sweden_11320_2010,5.09905,0.68363106,Sweden,11320,2010
Sweden_11420_2010,6.5439587,0.95603323,Sweden,11420,2010
Sweden_11520_2010,5.3582797,0.7689478,Sweden,11520,2010
Sweden_11620_2010,3.9268203,0.59513986,Sweden,11620,2010
Sweden_11710_2010,6.7992654,0.92052925,Sweden,11710,2010
Sweden_11810_2010,4.9231973,0.6916294,Sweden,11810,2010
Sweden_11110_2014,6.1173973,0.83961374,Sweden,11110,2014
Sweden_11320_2014,6.1873612,0.85105634,Sweden,11320,2014
Sweden_11420_2014,6.2325215,0.8084092,Sweden,11420,2014
Sweden_11520_2014,5.4420137,0.7848204,Sweden,11520,2014
Sweden_11620_2014,3.9866486,0.59685546,Sweden,11620,2014
Sweden_11810_2014,3.3625307,0.5636861,Sweden,11810,2014
Sweden_11420_2018,6.755759,0.9059964,Sweden,11420,2018
Sweden_11620_2018,2.6836789,0.53028756,Sweden,11620,2018
Sweden_11710_2018,6.5271826,0.8936877,Sweden,11710,2018
Sweden_11810_2018,5.575173,0.81291103,Sweden,11810,2018
Sweden_11110_2022,5.893569,0.79046524,Sweden,11110,2022
Sweden_11320_2022,6.497126,0.9314427,Sweden,11320,2022
Sweden_11420_2022,6.7477965,0.90217644,Sweden,11420,2022
Sweden_11620_2022,4.1324677,0.5762351,Sweden,11620,2022
Sweden_11710_2022,-0.32649562,0.06251158,Sweden,11710,2022
Sweden_11810_2022,3.9771996,0.57205766,Sweden,11810,2022
Norway_12221_2005,5.370944,0.77429265,Norway,12221,2005
Norway_12520_2005,-0.42400554,0.49273327,Norway,12520,2005
Norway_12620_2005,6.6580844,0.8902355,Norway,12620,2005
Norway_12810_2005,3.3272817,0.7565814,Norway,12810,2005
Norway_12951_2005,1.9829904,0.5256134,Norway,12951,2005
Norway_12221_2009,-6.9037375,1.0967016,Norway,12221,2009
Norway_12320_2009,-3.9086637,0.90781915,Norway,12320,2009
Norway_12420_2009,-3.465217,0.6483345,Norway,12420,2009
Norway_12520_2009,-6.460096,1.0552968,Norway,12520,2009
Norway_12620_2009,-8.288879,1.8039509,Norway,12620,2009
Norway_12810_2009,-14.484761,4.677139,Norway,12810,2009
Norway_12951_2009,-6.405299,0.66833663,Norway,12951,2009
Norway_12110_2013,-5.441938,0.12691171,Norway,12110,2013
Norway_12221_2013,-6.0589557,0.1166622,Norway,12221,2013
Norway_12320_2013,3.5713959,0.7469605,Norway,12320,2013
Norway_12420_2013,6.7867036,0.8977453,Norway,12420,2013
