party_election,d2v_d1,d2v_d2
41113_1998,8.791367,-0.12580001
41221_1998,1.7845591,-0.032585297
41320_1998,-0.18829961,-0.015866794
41420_1998,0.7003736,-0.0077663446
41521_1998,-0.8333295,-0.01324442
41113_2002,5.1881394,-0.038945973
41221_2002,-6.272852,0.007020513
41320_2002,-4.8965,0.012067779
41420_2002,-7.4880414,0.018682497
41521_2002,-6.6790934,0.0120220035
41113_2005,-5.741532,0.015446935
41222_2005,-11.054242,0.027508607
41320_2005,-3.3852684,0.0042566597
41420_2005,-6.0467,0.010585739
41521_2005,-6.8558736,0.015574544
41113_2009,-0.8323153,0.009930971
41223_2009,-10.069746,0.029088393
41320_2009,-6.9438105,0.014968673
41420_2009,-7.623683,0.016112547
41521_2009,-6.732301,0.010070239
41113_2013,10.268338,-0.06971105
41223_2013,3.9974544,-0.026047174
41320_2013,2.0357304,-0.03787109
41420_2013,1.5201151,-0.018209156
41521_2013,1.5801109,-0.023683319
41952_2013,-1.4440058,0.00045867637
41953_2013,-11.353976,0.029963726
41113_2017,13.535672,0.5000992
41223_2017,7.417591,-0.051774293
41320_2017,4.677938,-0.026093958
41420_2017,2.0056815,-0.020685047
41521_2017,4.740209,6.908018e-05
41953_2017,-6.739349,0.013721272
41113_2021,12.1917305,0.05109703
41223_2021,12.51732,-0.11797834
41320_2021,5.592657,-0.027131496
41420_2021,5.2221346,-0.0500965
41521_2021,8.177077,-0.06388288
41912_2021,4.004383,-0.037832104
41953_2021,-4.7676587,0.0064571532
