country_party_election,d2v_d1,d2v_d2,country,party,election
Sweden_11220_2006,7.6293664,0.5329711,Sweden,11220,2006
Sweden_11320_2006,4.3083353,0.496434,Sweden,11320,2006
Sweden_11420_2006,5.843595,0.54166216,Sweden,11420,2006
Sweden_11520_2006,7.084985,0.4889592,Sweden,11520,2006
Sweden_11620_2006,4.4458303,0.42364684,Sweden,11620,2006
Sweden_11810_2006,6.591196,0.6232337,Sweden,11810,2006
Sweden_11110_2010,7.7593703,0.5689994,Sweden,11110,2010
Sweden_11220_2010,7.8145413,0.58676976,Sweden,11220,2010
Sweden_11420_2010,5.64135,0.6409061,Sweden,11420,2010
Sweden_11520_2010,5.2535305,0.3606842,Sweden,11520,2010
Sweden_11620_2010,4.989826,0.5395209,Sweden,11620,2010
Sweden_11710_2010,1.965874,0.65453726,Sweden,11710,2010
Sweden_11810_2010,7.202423,0.47426906,Sweden,11810,2010
Sweden_11110_2014,1.1758066,0.2891008,Sweden,11110,2014
Sweden_11220_2014,5.109433,0.38454646,Sweden,11220,2014
Sweden_11320_2014,6.548306,0.53657746,Sweden,11320,2014
Sweden_11420_2014,1.9479752,0.49120656,Sweden,11420,2014
Sweden_11520_2014,1.5768735,0.56101775,Sweden,11520,2014
Sweden_11620_2014,-4.430259,1.5999469,Sweden,11620,2014
Sweden_11710_2014,-2.1946828,0.939147,Sweden,11710,2014
Sweden_11810_2014,3.2648385,0.5905464,Sweden,11810,2014
Sweden_11110_2018,-0.5024855,0.65838206,Sweden,11110,2018
Sweden_11220_2018,-0.7197963,0.8614474,Sweden,11220,2018
Sweden_11320_2018,1.134472,0.8206863,Sweden,11320,2018
Sweden_11420_2018,-1.1408094,1.3112804,Sweden,11420,2018
Sweden_11520_2018,3.862766,0.6206624,Sweden,11520,2018
Sweden_11620_2018,-5.1124277,3.5163286,Sweden,11620,2018
Sweden_11710_2018,-3.3528621,0.91308624,Sweden,11710,2018
Sweden_11810_2018,-3.1327717,1.5396787,Sweden,11810,2018
Sweden_11110_2022,6.792584,0.55106074,Sweden,11110,2022
Sweden_11220_2022,7.535602,0.56750894,Sweden,11220,2022
Sweden_11320_2022,1.7853928,0.7432839,Sweden,11320,2022
Sweden_11420_2022,3.0232372,0.7371001,Sweden,11420,2022
Sweden_11520_2022,7.8392982,0.4951281,Sweden,11520,2022
Sweden_11620_2022,0.23965737,0.85312426,Sweden,11620,2022
Sweden_11710_2022,-9.348395,4.089273,Sweden,11710,2022
Sweden_11810_2022,1.4643006,0.5300534,Sweden,11810,2022
Norway_12221_2005,1.1163708,1.224719,Norway,12221,2005
Norway_12320_2005,4.895819,0.6970252,Norway,12320,2005
Norway_12420_2005,-1.6566905,2.1817768,Norway,12420,2005
Norway_12520_2005,1.5779965,1.2061378,Norway,12520,2005
Norway_12620_2005,0.15244886,1.7629696,Norway,12620,2005
Norway_12810_2005,0.026986983,1.528451,Norway,12810,2005
Norway_12951_2005,-2.7565837,1.8599652,Norway,12951,2005
Norway_12221_2009,-2.0301363,1.8140018,Norway,12221,2009
Norway_12320_2009,-3.1781933,2.5362678,Norway,12320,2009
Norway_12420_2009,5.303659,0.75612193,Norway,12420,2009
Norway_12520_2009,-1.6248387,1.7908626,Norway,12520,2009
Norway_12620_2009,-0.05369574,1.296292,Norway,12620,2009
Norway_12810_2009,-6.3290725,3.989228,Norway,12810,2009
Norway_12951_2009,-2.3685398,1.2992699,Norway,12951,2009
Norway_12110_2013,-1.892548,2.1016812,Norway,12110,2013
Norway_12221_2013,-12.509114,9.85557,Norway,12221,2013
Norway_12320_2013,-8.536906,6.8500504,Norway,12320,2013
Norway_12420_2013,-7.138143,5.4702525,Norway,12420,2013
Norway_12520_2013,-11.372964,8.785198,Norway,12520,2013
Norway_12620_2013,-4.8667636,3.7299516,Norway,12620,2013
Norway_12810_2013,-4.624899,2.349153,Norway,12810,2013
Norway_12951_2013,-5.2917852,3.3677993,Norway,12951,2013
Norway_12110_2017,-7.4694905,5.318112,Norway,12110,2017
Norway_12221_2017,-7.00002,5.3178625,Norway,12221,2017
Norway_12230_2017,-6.8266883,4.7382298,Norway,12230,2017
Norway_12320_2017,-4.6249566,3.381744,Norway,12320,2017
Norway_12420_2017,-5.9362626,4.4829617,Norway,12420,2017
Norway_12520_2017,-6.4350405,4.8702826,Norway,12520,2017
Norway_12620_2017,-4.6264963,3.588794,Norway,12620,2017
Norway_12810_2017,-5.5144806,4.2625556,Norway,12810,2017
Norway_12951_2017,-8.183941,6.1979294,Norway,12951,2017
Denmark_13229_1998,6.4160023,0.7258718,Denmark,13229,1998
Denmark_13230_1998,7.8104424,0.56328756,Denmark,13230,1998
Denmark_13320_1998,2.039872,1.032772,Denmark,13320,1998
Denmark_13330_1998,5.848258,0.5475823,Denmark,13330,1998
Denmark_13410_1998,4.717593,0.6021001,Denmark,13410,1998
Denmark_13420_1998,5.2038426,0.64296114,Denmark,13420,1998
Denmark_13520_1998,7.4450893,0.5158868,Denmark,13520,1998
Denmark_13620_1998,3.1601133,0.8769595,Denmark,13620,1998
Denmark_13720_1998,5.3593545,0.63488567,Denmark,13720,1998
Denmark_13951_1998,6.953977,0.4955545,Denmark,13951,1998
Denmark_13320_2001,-0.6607792,1.7992364,Denmark,13320,2001
Denmark_13229_2005,6.793555,0.7255448,Denmark,13229,2005
Denmark_13230_2005,6.477331,0.4977159,Denmark,13230,2005
Denmark_13320_2005,1.8736985,0.9519125,Denmark,13320,2005
