party_election,d2v_d1,d2v_d2
41113_1998,6.265532,0.017238887
41221_1998,-0.71281505,0.0019024434
41320_1998,-4.2961483,0.009065503
41420_1998,0.04561544,-0.0034985912
41521_1998,-2.8481297,0.0078099556
41113_2002,-1.4932019,-0.00074941845
41221_2002,-0.23064953,0.0046260646
41320_2002,0.062186264,-0.007867685
41420_2002,-0.21399076,-0.0064755883
41521_2002,3.9399962,-0.039012905
41113_2005,-1.1766629,0.0012159927
41222_2005,-3.5202682,0.009384128
41320_2005,-5.720958,0.011292987
41420_2005,-2.9862978,0.0039894367
41521_2005,-4.573711,0.008455491
41113_2009,0.8913961,-0.0066193365
41223_2009,-1.4792466,0.00845303
41320_2009,-2.0047424,-0.001990917
41420_2009,2.8647842,-0.010885449
41521_2009,-1.4385598,-0.0048394827
41113_2013,3.958868,-0.0052422956
41223_2013,5.1991463,-0.00053678564
41320_2013,-2.3819585,0.0020898373
41420_2013,-1.251474,-0.0028361268
41521_2013,0.72977424,-0.01537336
41952_2013,-0.623727,0.001609441
41113_2017,1.0226561,0.0057429867
41223_2017,5.001078,0.017071947
41320_2017,1.8612171,-0.016274733
41420_2017,-2.2460437,0.00057156535
41521_2017,-0.3776773,-0.0048546973
41953_2017,-3.4353004,0.0055472185
41113_2021,4.132826,-0.013336788
41223_2021,10.5253315,0.06648135
41320_2021,-1.7408695,0.007047133
41420_2021,-0.1798527,-0.0050409213
41521_2021,4.6131225,-0.053108204
41912_2021,-6.5266237,0.014676986
41953_2021,0.34537476,-0.0057271924
