party_election,d2v_d1,d2v_d2
41113_1998,1.3863883,-0.026620394
41221_1998,-6.2552934,0.033158775
41320_1998,-5.9760394,0.02728104
41420_1998,1.7238966,-0.016248727
41521_1998,-1.7022775,-0.003888221
41113_2002,-6.2627783,0.028133573
41221_2002,-7.1678896,0.03141055
41320_2002,-1.8098462,-0.00285082
41420_2002,-2.3485882,0.021442903
41521_2002,4.67371,-0.03006812
41113_2005,-6.302918,0.031205375
41222_2005,-10.094703,0.05127397
41320_2005,-4.4228597,0.022791931
41420_2005,-4.5452204,0.024043245
41521_2005,-1.1825316,-0.00020223945
41113_2009,-0.9717649,-0.007378421
41223_2009,-3.1932812,0.012262179
41320_2009,-2.9051723,0.015387389
41420_2009,-1.5526198,0.005157653
41521_2009,5.2077794,-0.04474549
41113_2013,9.677525,-0.20790936
41223_2013,3.7410522,-0.045285746
41320_2013,-1.2249631,-0.011464376
41420_2013,4.0412865,-0.07335623
41521_2013,4.8103046,-0.071629405
41952_2013,-0.06885375,-0.0098071
41953_2013,-11.388875,0.059377942
41113_2017,4.2421317,-0.06926846
41223_2017,1.2133112,-0.026245896
41320_2017,2.3367712,-0.038205173
41420_2017,-1.0173798,-0.0050810077
41521_2017,4.4947453,-0.057057317
41953_2017,10.57601,0.028861223
41113_2021,4.535874,-0.043526247
41223_2021,1.6737653,-0.023403326
41320_2021,-0.5785398,-0.016292445
41420_2021,0.5434867,-0.011279049
41521_2021,5.7230062,-0.06292528
41912_2021,-3.1933224,0.015625807
41953_2021,13.564676,0.49732283
