country,party,election,topic,cs_mean_d1,cs_mean_d2,cs_se_d1,cs_se_d2
Austria,42110,1999,Agriculture,11.338874,16.521229,0.7167273051213412,1.6423354029870374
Austria,42110,2002,Agriculture,12.365059,16.120678,,
Austria,42110,2006,Agriculture,11.573927,18.854912,0.3141297996044159,0.21652348339557648
Austria,42110,2008,Agriculture,12.11317,16.115381,0.6321604319452256,0.8040116184582369
Austria,42110,2013,Agriculture,12.457741,15.813231,0.31025253941893954,0.3039462466940378
Austria,42110,2017,Agriculture,11.70861,14.976541,1.7869113782053603,0.6277047357294709
Austria,42110,2019,Agriculture,11.254365,16.072208,0.9814574646697463,0.483458539760192
Austria,42110,1999,Civil Rights,-0.8675056,-5.240352,1.8552807399204798,0.27230630602155415
Austria,42110,2002,Civil Rights,-5.5571303,-5.963048,1.0836142993477968,0.2776573215260053
Austria,42110,2006,Civil Rights,-4.213936,-5.891221,1.7843723449992548,0.32778914874287207
Austria,42110,2008,Civil Rights,-4.738178,-5.538853,1.229522704336936,0.29259540159240244
Austria,42110,2013,Civil Rights,-3.1481755,-5.2358794,0.9571416049098969,0.20598623164916008
Austria,42110,2017,Civil Rights,-0.17531912,-4.869759,1.786313465663365,0.41327970368521555
Austria,42110,2019,Civil Rights,-3.690043,-5.3700066,0.9250358520405288,0.2730952012894577
Austria,42110,1999,Decentralization,9.367376,5.4109397,,
Austria,42110,2002,Decentralization,5.1452975,6.351436,,
Austria,42110,2013,Decentralization,-6.6710005,6.396162,0.40773177350802714,0.3493187492094144
Austria,42110,2017,Decentralization,-1.0919204,5.9765277,5.785300985014181,0.6805210127612091
Austria,42110,2019,Decentralization,2.2188725,5.5460496,3.703918775311322,0.48624662702419175
Austria,42110,1999,Defense,1.6532983,-2.9058416,1.5395458832075353,2.157959260247087
Austria,42110,2002,Defense,5.436546,2.2240834,5.14273721328764,7.330512347355744
Austria,42110,2006,Defense,3.4776034,-1.4917948,2.3572866916656494,3.7889671325683594
Austria,42110,2008,Defense,3.3293412,-1.1486406,2.6485490798950195,3.8207478523254395
Austria,42110,2013,Defense,0.37180483,-5.1352434,0.009780064244386603,0.2429757176549096
Austria,42110,2017,Defense,6.2432847,2.3803375,5.603467342245812,7.581916612849286
Austria,42110,2019,Defense,0.2191096,-5.2005653,0.18134981802088718,0.12691283258038305
Austria,42110,1999,Economy,9.200684,15.9793415,2.154170513153076,0.4502778848012288
Austria,42110,2002,Economy,4.0141034,16.172527,2.2884326997824633,0.28760631549516763
Austria,42110,2006,Economy,9.993993,15.573377,1.6755677944064025,0.23335237204567488
Austria,42110,2008,Economy,5.266996,15.006234,2.66504176457723,0.2512415846188863
Austria,42110,2013,Economy,9.229513,15.530206,0.9725399391500377,0.11385736688272753
Austria,42110,2017,Economy,9.113019,15.822048,1.830275708608687,0.265394138548945
Austria,42110,2019,Economy,10.090503,15.784985,1.2644892432616606,0.11400807869565069
Austria,42110,1999,Education,12.896267,9.726999,0.5443298021952311,0.4034889141718547
Austria,42110,2002,Education,12.208631,9.392372,0.42532748591564734,0.34861332671497863
Austria,42110,2006,Education,12.640782,8.684106,0.45066737573986765,0.6022049522683169
Austria,42110,2008,Education,12.52944,8.020861,0.4097162846323743,0.7689836467425903
Austria,42110,2013,Education,13.135589,7.9962616,0.2256797105470084,0.3592470130408053
Austria,42110,2017,Education,12.485588,7.9157877,0.27419085103260726,0.574159681890192
Austria,42110,2019,Education,13.200811,8.063894,0.27316822568641475,0.5106804790286671
Austria,42110,1999,Environment,10.648242,4.9281096,0.2857740640640259,0.5198732376098633
Austria,42110,2002,Environment,10.44073,5.091264,0.2806039342687151,0.5499562207388491
Austria,42110,2006,Environment,10.356363,4.9345245,0.2514455856132026,0.5126479097150363
Austria,42110,2008,Environment,10.270676,4.2855678,0.5806179555957215,0.4505400496160333
Austria,42110,2013,Environment,9.794124,5.5981607,0.18974378518913532,0.26567684659365703
Austria,42110,2017,Environment,9.97353,5.8167753,0.14965106012735507,0.30406258828467364
