,text,election,code,pos,party_code,country_code,party,country,name,name_english,code_extract,sentiment,country_party_election_sentiment,party_agg
0,Wir wollen den Sozialstaat durch Erneuerung sichern,1998,504,42,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
1,Die Globalisierung mußte als standortgefährdendes Schreckgespenst für die Einschnitte ins soziale Netz herhalten,1998,504,59,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
2,"Im Gegenteil - die mit angeblichen Sachzwängen gerechtfertigte Sparpolitik der Bundesregierung trifft in hohem Maße Jugendeinrichtungen im Osten, Sportangebote, Ausbildungsplätze im öffentlichen Dienst, Schulen und Hochschulen",1998,504,98,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
3,und für besonders betroffene Haushalte einen sozialen Ausgleich schaffen,1998,504,193,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
4,"Menschen, die keine Beiträge zur Sozialversicherung zahlen und so auch durch eine Senkung nicht entlastet werden (Arbeitslose, RentnerInnen, SozialhilfeempfängerInnen und Studierende) erhalten einen sozialen Ausgleich",1998,504,196,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
5,Die Belastung mit Sozialversicherungsabgaben ist die höchste in der Geschichte der Bundesrepublik,1998,505,559,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,505,right,Germany_Bündnis‘90/Die Grünen_1998_right,Die Grünen
6,Dennoch gehen die Sozialversicherungseinnahmen zurück,1998,504,560,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
7,Auch das Arbeitslosengeld und die Rente erhöhen sich bei Senkung der Sozialversicherungsabgaben,1998,504,647,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
8,"Für SozialhilfeempfängerInnen, StudentInnen und sozial Schwache ist eine Erhöhung der Transferleistungen – insbesondere Wohngeld und Sozialhilfe-Regelsätze – vorgesehen",1998,504,648,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
9,", die Kürzungen und Zumutungen im Arbeitsförderungsreformgesetz und im Sozialgesetzbuch III zurücknehmen",1998,504,676,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
