"party","election","ches_lr","ches_regions","ches_econ","ches_env","ches_eu","ches_immgr","ches_wf"
"AfD",2013,8.92307662963867,3,8.33333301544189,8.666667,1.61538457870483,9.30000019073486,7.125
"AfD",2017,9.2380952835083,5.9166665,7,8.4499998,1.90476191043854,9.89999961853027,6
"Alliance 90/Greens",1998,3,NA,3.53333330154419,NA,5.66666650772095,NA,NA
"Alliance 90/Greens",2002,3.36,NA,4.5,NA,6.36,NA,NA
"Alliance 90/Greens",2005,3.09,4.1399999,4,NA,5.82,1.86000001430511,3.28999996185303
"Alliance 90/Greens",2009,3.625,3.5714285,3.875,2.3333333,6,1.73333334922791,2.86666655540466
"Alliance 90/Greens",2013,3.61538457870483,5.5714288,3.5,1.4545455,6.23076915740967,2.09090900421143,3.20000004768372
"Alliance 90/Greens",2017,3.2380952835083,4.1538463,3.80952382087708,1.55,6.7619047164917,1.70000004768372,3.42105269432068
"CDU/CSU",1998,6.53333330154419,NA,6.09999990463257,NA,5.76666665077209,NA,NA
"CDU/CSU",2002,6.645,NA,6.035,NA,6.07,NA,NA
"CDU/CSU",2005,7,4.0000001,6.635,NA,5.86,8.21000003814697,5
"CDU/CSU",2009,6.59583330154419,3.7142856,5.75,6,5.47058820724487,7.29999995231628,5.33333349227905
"CDU/CSU",2013,6.57692313194275,4.33333335,6,5.77272725,5.61538457870483,6.59090900421143,6.22777771949768
"CDU/CSU",2017,6.52380967140198,3.13333335,6.14285707473755,6.125,5.98496222496033,6.84999990463257,6.13157916069031
"FDP",1998,6.06666660308838,NA,7.26666688919067,NA,6.73333311080933,NA,NA
"FDP",2002,6.07,NA,7.64,NA,6.57,NA,NA
"FDP",2005,6.64,4.5,8.64,NA,6.27,4.71000003814697,7.1399998664856
"FDP",2009,6.59999990463257,5.5384617,8.1875,6.9333334,6,4.13333320617676,8.13333320617676
"FDP",2013,6.53846168518066,5.8571429,8,6.909091,5.692307472229,3.59999990463257,7.30000019073486
"FDP",2017,6.42857122421265,5.2857141,7.90476179122925,7.5263157,5.7619047164917,5.94999980926514,8.57894706726074
"SPD",1998,4,NA,4.06666660308838,NA,6.19999980926514,NA,NA
"SPD",2002,4,NA,3.57,NA,6.11,NA,NA
"SPD",2005,3.55,5.1399999,3.36,NA,6,5.42999982833862,2.85999989509583
"SPD",2009,3.625,5.4285712,3,5.1999998,5.88235282897949,4.85714292526245,3.06666660308838
"SPD",2013,3.76923084259033,5.7142859,3.5,4.2727275,6.38461542129517,3.90909099578857,3.20000004768372
"SPD",2017,3.61904764175415,5.4666667,3.71428561210632,4.6999998,6.5238094329834,4.15000009536743,3.05263161659241
"The Left",1998,1.26666665077209,NA,1,NA,3.20000004768372,NA,NA
"The Left",2002,1.64,NA,1.29,NA,4.07,NA,NA
"The Left",2005,1.27,3.5699999,0.91,NA,3.27,3.17000007629394,0.28999999165535
"The Left",2009,1.3125,5.8000002,1,4.2307692,3.29411768913269,3.07142853736877,0.466666668653488
"The Left",2013,1.23076927661896,5.1428571,1.25,4.7777777,3,4,0.899999976158142
"The Left",2017,1.42857146263123,5.3076925,1.28571426868439,4.25,4.7142858505249,2.70000004768372,0.89473682641983
