"doc_id","text","before","after","number","document_type","elec_period","date","title","pattern","id"
"text1.2","Zielsetzung Festlegung der maßgebenden Vorschriften des Bundesrechts über die Personalvertretung für die Betriebsvertretungen der zivilen Arbeitnehmer bei den Stationierungsstreitkräften.","text1","1","09/1032","Gesetzentwurf","9",1981-11-12,NA,"Entwurf eines Gesetz",2
"text1.4","Lösung Zustimmung zu der Vereinbarung vom 18.","text1","1","09/1032","Gesetzentwurf","9",1981-11-12,NA,"Entwurf eines Gesetz",4
"text1.5","Mai 1981 zwischen den sechs Entsendestaaten und der Bundesrepublik Deutschland, wonach das Bundespersonalvertretungsgesetz vom 15.","text1","1","09/1032","Gesetzentwurf","9",1981-11-12,NA,"Entwurf eines Gesetz",5
"text1.6","März 1974 anstelle des Personalvertretungsgesetzes vom 5.","text1","1","09/1032","Gesetzentwurf","9",1981-11-12,NA,"Entwurf eines Gesetz",6
"text1.7","August 1955 bei den Stationierungsstreitkräften Anwendung findet.","text1","1","09/1032","Gesetzentwurf","9",1981-11-12,NA,"Entwurf eines Gesetz",7
"text1.9","Alternativen Keine.","text1","1","09/1032","Gesetzentwurf","9",1981-11-12,NA,"Entwurf eines Gesetz",9
"text1.11","Kosten Keine zusätzlichen Kosten.","text1","1","09/1032","Gesetzentwurf","9",1981-11-12,NA,"Entwurf eines Gesetz",11
"text1.12","An den Herrn Präsidenten des Deutschen Bundestages Hiermit übersende ich den von der Bundesregierung beschlossenen","text1","1","09/1032","Gesetzentwurf","9",1981-11-12,NA,"Entwurf eines Gesetz",12
"text2.2","Zielsetzung Das Übereinkommen zielt darauf ab, den Arbeitsschutz der Hafenarbeiter den grundlegenden technischen Veränderungen der letzten Jahrzehnte auf dem Gebiet des Güterumschlags in der Seeund Binnenschiffahrt anzupassen.","text2","1","09/1227","Gesetzentwurf","9",1981-12-21,NA,"Entwurf eines Gesetz",14
"text2.3","Die Schutznormen des Übereinkommens haben daher in erster Linie den Zweck, die nationalen Sicherheitsvorschriften für die Hafenarbeit auf ein weltweit anerkanntes Mindestmaß anzuheben.","text2","1","09/1227","Gesetzentwurf","9",1981-12-21,NA,"Entwurf eines Gesetz",15
"text2.5","Lösung Da sich das Übereinkommen auf Gegenstände der Bundesgesetzgebung bezieht, bedarf es gemäß Artikel 59 Abs. 2 Satz 1 des Grundgesetzes zur innerstaatlichen Umsetzung der Zustimmung der gesetzgebenden Körperschaften in der Form eines Vertragsgesetzes.","text2","1","09/1227","Gesetzentwurf","9",1981-12-21,NA,"Entwurf eines Gesetz",17
"text2.6","Die nach dem Übereinkommen auf nationaler Ebene zu treffenden technischen Maßnahmen sind in der Bundesrepublik Deutschland durch das geltende Recht und die ständige Praxis gewährleistet.","text2","1","09/1227","Gesetzentwurf","9",1981-12-21,NA,"Entwurf eines Gesetz",18
"text2.7","Die Schutzziele des Übereinkommens werden insbesondere durch das Arbeitsschutzrecht sowie die für die Schiffssicherheit und den Umschlag gefährlicher Ladungen maßgeblichen Vorschriften erfüllt.","text2","1","09/1227","Gesetzentwurf","9",1981-12-21,NA,"Entwurf eines Gesetz",19
"text2.8","Soweit das Übereinkommen die Unfallverhütungsvorschriften für Seeschiffe berührt, ist es in der neu gefaßten Unfallverhütungsvorschrift „See berücksichtigt worden.","text2","1","09/1227","Gesetzentwurf","9",1981-12-21,NA,"Entwurf eines Gesetz",20
"text2.9","Darüber hinaus erfordert die Umsetzung des Übereinkommens keine Änderungen oder Ergänzungen des innerstaatlichen Rechts.","text2","1","09/1227","Gesetzentwurf","9",1981-12-21,NA,"Entwurf eines Gesetz",21
"text2.11","Alternativen keine D.","text2","1","09/1227","Gesetzentwurf","9",1981-12-21,NA,"Entwurf eines Gesetz",23
"text2.12","Kosten keine An den Herrn Präsidenten des Deutschen Bundestages Hiermit übersende ich den von der Bundesregierung beschlossenen","text2","1","09/1227","Gesetzentwurf","9",1981-12-21,NA,"Entwurf eines Gesetz",24
"text3.2","Zielsetzung Dauerhafte Verbesserung von Wachstum und Beschäftigung durch verstärkte Förderung der Investitionstätigkeit im Rahmen einer Gemeinschaftsinitiative aller für die Wirtschaft Verantwortlichen und Verbesserung der Steuerstruktur durch Umschichtung von der direkten auf die indirekte Steuerbelastung.","text3","1","09/1488","Gesetzentwurf","9",1982-03-23,NA,"Entwurf eines Gesetz",26
"text3.3","Zeitnahe Besteuerung von unbebauten baureifen Grundstücken, Vermeidung des steuerlichen Anreizes zur Haltung von Grundstücken und Verbesserung der Finanzkraft der Gemeinden.","text3","1","09/1488","Gesetzentwurf","9",1982-03-23,NA,"Entwurf eines Gesetz",27
"text3.4","Verbesserung der Ausbildungssituation und der Arbeitsmarktchancen Jugendlicher.","text3","1","09/1488","Gesetzentwurf","9",1982-03-23,NA,"Entwurf eines Gesetz",28
"text3.6","Lösung a) Einführung einer befristeten Investitionszulage von 10v.","text3","1","09/1488","Gesetzentwurf","9",1982-03-23,NA,"Entwurf eines Gesetz",30
"text3.7","H. b) Erhöhung der Umsatzsteuersätze von 13/6,5 v.","text3","1","09/1488","Gesetzentwurf","9",1982-03-23,NA,"Entwurf eines Gesetz",31
"text3.8","H. auf 14/7 v.","text3","1","09/1488","Gesetzentwurf","9",1982-03-23,NA,"Entwurf eines Gesetz",32
"text3.9","H. ab 1.","text3","1","09/1488","Gesetzentwurf","9",1982-03-23,NA,"Entwurf eines Gesetz",33
"text3.10","Juli 1983. c) Vorgezogene Neubewertung der unbebauten baureifen Grundstücke. d) Beschleunigung des Steuereingangs bei Mehrergebnissen aus länger dauernden, noch laufenden Betriebsprüfungen. e) Schaffung einer gesetzlichen Grundlage für die Gewährung von Bildungsbeihilfen an arbeitslose Jugendliche. f) Der Bundeszuschuß zur Rentenversicherung der Arbeiter und der Angestellten wird im Jahre 1984 um rd.","text3","1","09/1488","Gesetzentwurf","9",1982-03-23,NA,"Entwurf eines Gesetz",34
