"doc_id","text","before","after","number","document_type","elec_period","date","title","pattern","id"
"text1.2","Zielsetzung Das Übereinkommen vom 30.","text1","1","11/3815","Gesetzentwurf","11",1989-01-06,NA,"Entwurf eines Gesetz",2
"text1.3","November 1979 über die Soziale Sicherheit der Rheinschiffer ist am 1.","text1","1","11/3815","Gesetzentwurf","11",1989-01-06,NA,"Entwurf eines Gesetz",3
"text1.4","Dezember 1987 für die Unterzeichnerstaaten (Bundesrepublik Deutschland, Belgien, Frankreich, Luxemburg, Niederlande und Schweiz) in Kraft getreten.","text1","1","11/3815","Gesetzentwurf","11",1989-01-06,NA,"Entwurf eines Gesetz",4
"text1.5","Artikel 96 dieses Übereinkommens bestimmt, daß seine Anwendung durch eine Verwaltungsvereinbarung geregelt wird.","text1","1","11/3815","Gesetzentwurf","11",1989-01-06,NA,"Entwurf eines Gesetz",5
"text1.6","Ziel der Verwaltungsvereinbarung ist es, die für die Inanspruchnahme der Leistungen durch die vom Übereinkommen erfaßten Personen notwendigen verfahrensund verwaltungstechnischen Regelungen festzulegen.","text1","1","11/3815","Gesetzentwurf","11",1989-01-06,NA,"Entwurf eines Gesetz",6
"text1.8","Lösung Die vorliegende Verwaltungsvereinbarung regelt vor altem die Mitteilungspflicht zwischen den Versicherungsträgern der Vertragsparteien die Ausstellung und Vorlage notwendiger Bescheinigungen, das Antragsund Bescheiderteilungsverfahren, die Gewährung gegenseitiger Verwaltungshilfe sowie die Zahlungsund Erstattungsverfahren.","text1","1","11/3815","Gesetzentwurf","11",1989-01-06,NA,"Entwurf eines Gesetz",8
"text1.9","Sie bestimmt ebenfalls die für die Durchführung der verschiedenen Versicherungszweige zuständigen Träger und Verbindungsstellen, sowie deren Aufgaben bei der Durchführung des Übereinkommens.","text1","1","11/3815","Gesetzentwurf","11",1989-01-06,NA,"Entwurf eines Gesetz",9
"text1.10","Schließlich bestimmt die Verwaltungsvereinbarung die Außerkraftsetzung der Verwaltungsvereinbarung vom 3.","text1","1","11/3815","Gesetzentwurf","11",1989-01-06,NA,"Entwurf eines Gesetz",10
"text1.11","April 1967 zur Durchführung des revidierten Abkommens über die Soziale Sicherheit der Rheinschiffer vom 25.","text1","1","11/3815","Gesetzentwurf","11",1989-01-06,NA,"Entwurf eines Gesetz",11
"text1.12","Juli 1950.","text1","1","11/3815","Gesetzentwurf","11",1989-01-06,NA,"Entwurf eines Gesetz",12
"text1.14","Alternativen keine D.","text1","1","11/3815","Gesetzentwurf","11",1989-01-06,NA,"Entwurf eines Gesetz",14
"text1.15","Kosten Bund, Länder und Gemeinden werden durch die Ausführung des Gesetzes nicht mit Kosten belastet.","text1","1","11/3815","Gesetzentwurf","11",1989-01-06,NA,"Entwurf eines Gesetz",15
"text1.16","An den Präsidenten des Deutschen Bundestages Hiermit übersende ich den von der Bundesregierung beschlossenen","text1","1","11/3815","Gesetzentwurf","11",1989-01-06,NA,"Entwurf eines Gesetz",16
