"party","election","num_speeches","wf_score","wf_se"
"AfD",2013,10,-0.279936471862238,0.381828905153598
"AfD",2017,145,0.0265133196177888,0.104440609672058
"AfD",2021,196,0.0827736253943744,0.0881131005386522
"Alliance 90/Greens",1998,211,0.728710792973671,0.0638763640545253
"Alliance 90/Greens",2002,113,0.355720408017024,0.104110452345461
"Alliance 90/Greens",2005,156,0.636800429292502,0.0709016652633147
"Alliance 90/Greens",2009,341,-0.541150641066268,0.06534187004589
"Alliance 90/Greens",2013,582,-0.577569320195605,0.0493458944638302
"Alliance 90/Greens",2017,444,-1.20119916752516,0.0523755159928077
"Alliance 90/Greens",2021,400,-1.16197350872418,0.0535558170059746
"CDU/CSU",1998,56,1.09633146401699,0.070817633131077
"CDU/CSU",2002,138,0.917589079691475,0.0585041314134072
"CDU/CSU",2005,138,0.916989922167426,0.0616581384758217
"CDU/CSU",2009,285,0.844649859980189,0.0476762210115024
"CDU/CSU",2013,365,0.590194348968778,0.0488146185698751
"CDU/CSU",2017,203,0.385312723448714,0.0729081122041001
"CDU/CSU",2021,352,0.261097558873919,0.0614697706648505
"FDP",1998,226,1.08726882149975,0.0367298032102112
"FDP",2002,220,1.06424547050004,0.0365971831744818
"FDP",2005,258,1.25904037005476,0.0246837002263607
"FDP",2009,427,1.12117369618387,0.0253705819670668
"FDP",2013,469,0.787303362069909,0.0392598375728323
"FDP",2017,463,0.544600685423591,0.044635951227493
"FDP",2021,313,0.532481134779117,0.0557208082290197
"SPD",1998,124,0.990843859850283,0.05866360150274
"SPD",2002,144,0.519972895540306,0.0947384390894295
"SPD",2005,97,1.08943953048049,0.0541718237122473
"SPD",2009,284,0.0436978400244992,0.0720419064731017
"SPD",2013,434,-0.429493161790732,0.0554122145433212
"SPD",2017,335,-0.566353476957628,0.0641198356132189
"SPD",2021,143,-1.07106434616881,0.0949458226678076
"The Left",1998,49,-0.786186393589449,0.152661185195906
"The Left",2002,58,-0.44566553094395,0.142369470940466
"The Left",2005,57,-0.701514834720664,0.143866468397221
"The Left",2009,175,-1.90444357299006,0.0722030122490536
"The Left",2013,286,-2.04326769234497,0.0484501636936438
"The Left",2017,542,-2.06799480285514,0.0372468502545186
"The Left",2021,525,-2.10493827711463,0.0363411385450952
