"party","election","num_speeches","wf_score","wf_se"
"AfD",2013,1,-0.642960444814881,0.703715823564383
"AfD",2017,29,-0.442105305846521,0.248605793385646
"AfD",2021,65,0.235364627495135,0.141567223116141
"Alliance 90/Greens",1998,246,0.392084700131208,0.0647928600266294
"Alliance 90/Greens",2002,231,0.0887903493205198,0.0650470344969026
"Alliance 90/Greens",2005,190,-0.291087161391386,0.0734281884032475
"Alliance 90/Greens",2009,422,-1.16782191953166,0.0445414689787215
"Alliance 90/Greens",2013,759,-1.10564704961995,0.0323652334471665
"Alliance 90/Greens",2017,661,-1.58032993061535,0.0258023541275737
"Alliance 90/Greens",2021,628,-1.54036252385089,0.0272502860869412
"CDU/CSU",1998,58,1.74488669200529,0.107925558841414
"CDU/CSU",2002,61,1.0596782620123,0.117925227079981
"CDU/CSU",2005,39,1.09173393061884,0.159673165621318
"CDU/CSU",2009,136,0.543476623202823,0.0887726547525653
"CDU/CSU",2013,190,0.0970587692295429,0.0730952232370279
"CDU/CSU",2017,142,-0.0176832747225011,0.0814786807292495
"CDU/CSU",2021,277,-0.388205565642398,0.0598869605012292
"FDP",1998,115,1.13405343159686,0.0884895152895454
"FDP",2002,49,1.56452711541162,0.124711790292519
"FDP",2005,55,1.31829846952378,0.111497278062911
"FDP",2009,123,0.951785772456399,0.0877571855218296
"FDP",2013,160,0.337542858544188,0.0812072916000857
"FDP",2017,100,0.360801367379641,0.0979056019297532
"FDP",2021,194,-0.146129518555598,0.0727858987076673
"SPD",1998,77,1.58944019035504,0.101167897411127
"SPD",2002,56,1.3355105507175,0.135979813716351
"SPD",2005,68,0.991254664137427,0.117555789368037
"SPD",2009,134,0.106676577549864,0.0931932627113928
"SPD",2013,190,0.105146747825033,0.0730920884427363
"SPD",2017,211,-0.0868633101438256,0.0751591926433037
"SPD",2021,155,-1.44076585358138,0.0625993016987619
"The Left",1998,60,0.3441826152236,0.125562577730289
"The Left",2002,23,-0.383261363392084,0.184637948357379
"The Left",2005,40,-0.725148561615094,0.158993863844997
"The Left",2009,98,-0.903431873831845,0.110236323079755
"The Left",2013,187,-1.07298655465359,0.0637088994826295
"The Left",2017,266,-1.58641443631596,0.0430311630372746
"The Left",2021,509,-1.87108966661169,0.0216371123031703
