"","party","election","num_speeches","wf_score","wf_se"
"1","AfD",2017,15,-1.05375987754773,0.36842702396249
"2","AfD",2021,39,-0.294870245660719,0.209867738169352
"3","CDU/CSU",1998,13,1.04623435341231,0.268694639872668
"4","CDU/CSU",2002,45,0.863181745343117,0.157888578390727
"5","CDU/CSU",2005,23,1.00091792957984,0.209645185225571
"6","CDU/CSU",2009,117,0.702083901468442,0.103817264555865
"7","CDU/CSU",2013,125,-0.12329302092032,0.109125783293171
"8","CDU/CSU",2017,46,-0.448996580836506,0.165911907864455
"9","CDU/CSU",2021,118,-0.313244932555505,0.10653529618801
"10","Die Grünen",1998,104,0.583596072164124,0.11869989088346
"11","Die Grünen",2002,145,-0.0150536068464787,0.0975846560099785
"12","Die Grünen",2005,170,-0.502480629117327,0.0936593661124625
"13","Die Grünen",2009,383,-1.228670891217,0.0619526695120927
"14","Die Grünen",2013,571,-1.29529485054191,0.0481684242893437
"15","Die Grünen",2017,345,-2.17994792001343,0.0470639281357351
"16","Die Grünen",2021,315,-1.73308906693764,0.0566813455396521
"17","FDP",1998,71,1.28291880840757,0.116024542461243
"18","FDP",2002,37,1.773747012127,0.138013004592473
"19","FDP",2005,37,1.50526054588963,0.129092680768118
"20","FDP",2009,113,1.24929224880124,0.0938595268475463
"21","FDP",2013,96,0.505095825762608,0.119833946178007
"22","FDP",2017,36,0.901820403012269,0.171328532617872
"23","FDP",2021,97,0.38326534176695,0.116189834523719
"24","PDS/Die Linke",1998,20,0.535283846059331,0.234021415542949
"25","PDS/Die Linke",2002,13,-0.1295220195698,0.296008388039201
"26","PDS/Die Linke",2005,37,-0.634329803947508,0.206477614053767
"27","PDS/Die Linke",2009,92,-0.230100821961856,0.14763757220201
"28","PDS/Die Linke",2013,125,-0.563081172256203,0.106719478545744
"29","PDS/Die Linke",2017,129,-1.42297340183298,0.104752215948938
"30","PDS/Die Linke",2021,229,-1.66267675717387,0.0785625241018456
"31","SPD",1998,30,1.022601679638,0.199517830529963
"32","SPD",2002,26,1.09680683977302,0.225489663091602
"33","SPD",2005,38,0.462624877137818,0.177705224412973
"34","SPD",2009,116,0.38515176412162,0.112552815510096
"35","SPD",2013,126,0.0295054254498513,0.103386561485728
"36","SPD",2017,78,-0.445755543327713,0.141402224324551
"37","SPD",2021,58,-1.05224747765022,0.162909822844087
