"party","election","num_speeches","doc_id","country","wf_score","wf_se"
11110,2014,2,1,"Sweden",0.668914281700134,0.598504626858725
11110,2022,3,2,"Sweden",0.819583376633745,0.78513610302162
11220,2006,6,3,"Sweden",0.0288688209363047,0.432450838133064
11320,2006,9,5,"Sweden",-0.360340393232776,0.295892814782284
11320,2010,11,6,"Sweden",2.64705148588416,0.324454371526952
11320,2014,1,7,"Sweden",-0.192468370081962,0.801274875147602
11320,2022,1,8,"Sweden",-1.02142772699877,0.686635151983319
11420,2006,4,9,"Sweden",-2.18194874904102,0.425073366397646
11420,2010,3,10,"Sweden",-0.489619044523561,0.691787049502579
11420,2014,1,11,"Sweden",1.73388252911086,0.657685949034305
11420,2018,1,12,"Sweden",0.574118533654146,0.789672667485245
11420,2022,1,13,"Sweden",-0.813915687253747,0.800798001912306
11520,2006,1,14,"Sweden",0.30139404484016,0.794665670628707
11520,2010,5,15,"Sweden",-0.4886404534285,0.43695411991764
11520,2014,2,16,"Sweden",-0.982088174846976,0.558862044231653
11620,2006,11,17,"Sweden",0.310230009874584,0.295408519833885
11620,2010,19,18,"Sweden",-0.952924681833248,0.286867905817003
11620,2014,8,19,"Sweden",0.487638169635912,0.324807052599728
11620,2018,11,20,"Sweden",0.236049647461127,0.28354191999324
11620,2022,7,21,"Sweden",-1.56443654694761,0.469114905126583
11710,2010,1,22,"Sweden",-0.00927160323743939,0.687793175982558
11710,2022,19,24,"Sweden",0.22362005586983,0.237462529281758
11810,2006,8,25,"Sweden",1.39718631126647,0.286850465475596
11810,2010,8,26,"Sweden",-0.541170473264612,0.39921057692618
11810,2014,10,27,"Sweden",0.196998892548988,0.262506743106555
11810,2018,3,28,"Sweden",-0.394574065037592,0.521560177773183
11810,2022,8,29,"Sweden",0.367289810311377,0.360099711340314
12110,2013,41,1,"Norway",1.84569576853316,0.0838296842128351
12110,2017,61,2,"Norway",2.18241620340771,0.0536239764034739
12221,2005,3,3,"Norway",1.37410546762101,0.379338141374772
12221,2009,85,4,"Norway",-0.333411580411518,0.0413489245352299
12221,2013,49,5,"Norway",1.66480818349661,0.0771677719160899
12221,2017,21,6,"Norway",1.83649023049213,0.104211710967101
12230,2017,8,7,"Norway",1.36295012783998,0.206854784934372
12320,2009,62,8,"Norway",-0.566379910082223,0.0453865398849232
12320,2013,8,9,"Norway",-0.102706836993729,0.186885472299754
12320,2017,139,10,"Norway",-0.794135620699359,0.0236754125522093
