"party","election","num_speeches","wf_score","wf_se"
"AfD",2013,4,-1.15324505228338,0.306731947031838
"AfD",2017,188,-0.926483893216283,0.0687276457462456
"AfD",2021,213,-0.929938468029428,0.0673585335342431
"Alliance 90/Greens",1998,37,-1.13559876266113,0.105082865981405
"Alliance 90/Greens",2002,32,0.566545252605314,0.216083442964047
"Alliance 90/Greens",2005,34,0.902614393323995,0.163484420519598
"Alliance 90/Greens",2009,45,0.627857341969037,0.177583257689844
"Alliance 90/Greens",2013,101,0.945263441537376,0.106393114382588
"Alliance 90/Greens",2017,209,1.06641833447247,0.0624528505549949
"Alliance 90/Greens",2021,99,1.40029032997197,0.0695862637995888
"CDU/CSU",1998,48,-1.30378591033947,0.045976980831572
"CDU/CSU",2002,81,-1.101101276277,0.0705768172843884
"CDU/CSU",2005,21,-0.749224706668551,0.211743394856008
"CDU/CSU",2009,81,-0.863841021010952,0.0961775757544886
"CDU/CSU",2013,124,-1.03679606737381,0.0626367512651938
"CDU/CSU",2017,149,-0.605472023843737,0.089318327863021
"CDU/CSU",2021,104,-0.632730009098054,0.104564685651831
"FDP",1998,45,-1.33960341675693,0.0375210001130076
"FDP",2002,53,-0.923833507944699,0.10914874132586
"FDP",2005,21,-0.392734488566655,0.233302980773277
"FDP",2009,24,0.253416678700751,0.230089149657122
"FDP",2013,106,-0.117718864098405,0.117427699653994
"FDP",2017,69,0.871944743919241,0.118075587824882
"FDP",2021,51,0.41267920509288,0.148066515745459
"SPD",1998,21,-1.17339678355318,0.105036514348395
"SPD",2002,52,-0.860614762050675,0.14396611296251
"SPD",2005,20,-1.01779266945394,0.199853484812342
"SPD",2009,41,0.800448439418041,0.167849636354856
"SPD",2013,73,0.214701176512483,0.149369631820767
"SPD",2017,104,-0.0324342532293447,0.126750342946025
"SPD",2021,46,0.700802458871795,0.156861030447735
"The Left",1998,13,1.10564163902583,0.266732081989313
"The Left",2002,11,-0.742352807623735,0.257099440994105
"The Left",2005,8,0.62165808271623,0.370670178099731
"The Left",2009,29,1.48451900036566,0.135225057494324
"The Left",2013,25,1.73748391000513,0.0958628135934813
"The Left",2017,135,1.57489191828379,0.055185216157714
"The Left",2021,79,1.75152239728737,0.0530390140484707
