"","party","election","num_speeches","wf_score","wf_se"
"1","AfD",2017,20,-0.611622181294474,0.299571102778108
"2","AfD",2021,46,-0.338057363101758,0.205063941514854
"3","CDU/CSU",1998,26,-0.98546903584196,0.18450958006671
"4","CDU/CSU",2002,64,-1.19970290549109,0.0914171243973337
"5","CDU/CSU",2005,15,-0.713361457379854,0.360751298940717
"6","CDU/CSU",2009,37,-1.21105649451932,0.103709247905073
"7","CDU/CSU",2013,50,-1.14118916099449,0.104624335763701
"8","CDU/CSU",2017,34,-0.802251723189891,0.198787704453613
"9","CDU/CSU",2021,96,-0.968534106428543,0.0997180507609799
"10","Die Grünen",1998,88,1.12735235514111,0.109982572299974
"11","Die Grünen",2002,28,-0.144518568767655,0.208968774963797
"12","Die Grünen",2005,30,0.921526471609258,0.206470511116123
"13","Die Grünen",2009,51,0.937363246568181,0.163533748257041
"14","Die Grünen",2013,70,1.05380077394651,0.127198649419187
"15","Die Grünen",2017,38,1.05801641404074,0.153968777446077
"16","Die Grünen",2021,54,0.292534154897511,0.144009746261422
"17","FDP",1998,43,-0.90300882547431,0.169704521469812
"18","FDP",2002,36,-0.978966548775528,0.167856638586456
"19","FDP",2005,24,-0.849539064868813,0.230814808095112
"20","FDP",2009,55,-0.054418912329985,0.171587467857943
"21","FDP",2013,31,-0.152310924187103,0.204158206079777
"22","FDP",2017,22,-1.41144181316447,0.0849750110546172
"23","FDP",2021,40,-1.39443869070189,0.0651446922105197
"24","PDS/Die Linke",1998,32,0.743240621146231,0.190076164610322
"25","PDS/Die Linke",2002,38,1.05506548941563,0.176767775016482
"26","PDS/Die Linke",2005,21,0.832353933129554,0.242046161725136
"27","PDS/Die Linke",2009,37,1.69696347075328,0.118064534536799
"28","PDS/Die Linke",2013,87,1.79133475610944,0.0521913685788097
"29","PDS/Die Linke",2017,95,1.72029352125061,0.0580468303378223
"30","PDS/Die Linke",2021,165,1.73131011082135,0.0456350120017264
"31","SPD",1998,17,-0.887378518975872,0.234600354761831
"32","SPD",2002,44,-0.915662009180753,0.158039430206449
"33","SPD",2005,8,-0.0343378537939807,0.369615338003117
"34","SPD",2009,32,-0.0904205368685772,0.210549890410554
"35","SPD",2013,24,0.620136509667949,0.23098645225403
"36","SPD",2017,46,0.144056551400549,0.164224739505096
"37","SPD",2021,33,0.0623383154324111,0.201047851470109
