"","party","election","num_speeches","wf_score","wf_se"
"1","AfD",2013,6,-0.686754640493065,0.442804410845509
"2","AfD",2017,208,-0.391095981256551,0.0851635378532607
"3","AfD",2021,300,-0.626031216348277,0.0721656028814802
"4","CDU/CSU",1998,44,-1.42874632873569,0.101710765258332
"5","CDU/CSU",2002,112,-1.31545690701345,0.0748980173230569
"6","CDU/CSU",2005,58,-1.02074221406463,0.114920824616517
"7","CDU/CSU",2009,142,-1.26035094168863,0.0662576142420931
"8","CDU/CSU",2013,134,-1.46832795211695,0.0588820893623502
"9","CDU/CSU",2017,137,-0.857136997061858,0.086449471099464
"10","CDU/CSU",2021,131,-0.904789974806041,0.0885999712450874
"11","Die Grünen",1998,64,1.46596851920562,0.0886570447312708
"12","Die Grünen",2002,25,0.513738118280099,0.261323425244852
"13","Die Grünen",2005,22,-0.518205180947606,0.226619533539296
"14","Die Grünen",2009,55,0.540386009581283,0.159453046429685
"15","Die Grünen",2013,201,0.875736118764364,0.0880896562714309
"16","Die Grünen",2017,112,0.813159847055124,0.103927200175826
"17","Die Grünen",2021,91,0.923196402623755,0.116612935829368
"18","FDP",1998,60,-0.204724465286733,0.142937380053628
"19","FDP",2002,41,-0.830103744807771,0.153367231020483
"20","FDP",2005,33,-0.310487606737626,0.213848195749787
"21","FDP",2009,46,-0.335184735772052,0.185208771033739
"22","FDP",2013,101,-0.117764674499455,0.123866458781945
"23","FDP",2017,48,1.71009565393527,0.0434755954190127
"24","FDP",2021,61,1.70517548066454,0.0425354904064403
"25","PDS/Die Linke",1998,13,1.35330132654238,0.223112941014628
"26","PDS/Die Linke",2002,16,0.355987370087672,0.302212066362234
"27","PDS/Die Linke",2005,8,0.248878368770495,0.363941231807697
"28","PDS/Die Linke",2009,38,1.51045656737651,0.11840819635232
"29","PDS/Die Linke",2013,66,1.36018639198637,0.103780035855508
"30","PDS/Die Linke",2017,75,1.31639585327737,0.106018550101965
"31","PDS/Die Linke",2021,76,1.44219881449253,0.0811349604959637
"32","SPD",1998,34,-0.668263664262725,0.185034255078501
"33","SPD",2002,72,-0.724960710052754,0.13750282541823
"34","SPD",2005,36,-1.33004378214077,0.134665664900364
"35","SPD",2009,44,-0.656356013292592,0.16984604069851
"36","SPD",2013,70,-0.536876450663675,0.140753131592956
"37","SPD",2017,112,-0.421803740322621,0.116424895296504
"38","SPD",2021,58,0.47934707972814,0.152396896882013
