"","party","election","num_speeches","wf_score","wf_se"
"1","AfD",2013,2,-0.179086086857375,0.833676873430386
"2","AfD",2017,36,0.199327119073733,0.420971952430736
"3","AfD",2021,82,0.949934719423516,0.359853420179183
"4","CDU/CSU",1998,37,0.602960002689149,0.464901097051527
"5","CDU/CSU",2002,83,0.718132324932895,0.261145240419436
"6","CDU/CSU",2005,16,-0.200174935216752,0.451222950889262
"7","CDU/CSU",2009,37,0.645076512111343,0.38889804255856
"8","CDU/CSU",2013,143,0.63586097358294,0.207542619735217
"9","CDU/CSU",2017,84,-0.128471168362626,0.253158564615343
"10","CDU/CSU",2021,211,0.406148677883652,0.176989583731178
"11","Die Grünen",1998,164,-0.399062501249171,0.186003035084456
"12","Die Grünen",2002,96,0.23045842649465,0.255385719070263
"13","Die Grünen",2005,103,-0.33949403663212,0.208526188248753
"14","Die Grünen",2009,113,-0.581680663753099,0.185286206479286
"15","Die Grünen",2013,360,-0.176358083337733,0.126087106227161
"16","Die Grünen",2017,217,-0.479645454876987,0.135270648272689
"17","Die Grünen",2021,348,-0.766013808511009,0.0960555665339266
"18","FDP",1998,102,0.00589210309649757,0.265916544259218
"19","FDP",2002,145,0.586058110971415,0.239313395398478
"20","FDP",2005,30,0.235054794525772,0.414111795208732
"21","FDP",2009,77,-0.135453840471431,0.281539458125538
"22","FDP",2013,92,1.08249353784407,0.28247019431845
"23","FDP",2017,108,2.17956656594982,0.228142081851157
"24","FDP",2021,187,3.06496684994901,0.171428687017852
"25","PDS/Die Linke",1998,81,-0.358015091827121,0.264842140644692
"26","PDS/Die Linke",2002,70,-0.687258834821079,0.228334639034343
"27","PDS/Die Linke",2005,46,-1.45233932957744,0.171644906150314
"28","PDS/Die Linke",2009,72,-1.67213370564707,0.137450828312908
"29","PDS/Die Linke",2013,239,-1.74860098221588,0.0611224980670318
"30","PDS/Die Linke",2017,442,-1.70515266187061,0.0458819150201529
"31","PDS/Die Linke",2021,519,-1.58247430531965,0.0477444218567994
"32","SPD",1998,99,-0.185678572308365,0.244683298777799
"33","SPD",2002,88,1.2574595681179,0.320654293389568
"34","SPD",2005,24,0.914562487261992,0.530531564824262
"35","SPD",2009,61,0.0967906575479105,0.314218989476643
"36","SPD",2013,298,-0.166392874175226,0.134856985368089
"37","SPD",2017,191,-0.34193170498599,0.14821859008748
"38","SPD",2021,204,-0.525324789439528,0.140576884406529
