"country_topic","party","election","num_speeches","doc_id","country","topic","wf_score","wf_se"
"Sweden_Economics",11110,2006,31,1,"Sweden","Economics",-0.755715516217264,0.269117218616468
"Sweden_Economics",11110,2010,56,2,"Sweden","Economics",-0.522810357855334,0.194683840261924
"Sweden_Economics",11110,2014,41,3,"Sweden","Economics",-1.12537492762905,0.176176266845437
"Sweden_Economics",11110,2018,47,4,"Sweden","Economics",-1.56297272328646,0.165549542220786
"Sweden_Economics",11110,2022,11,5,"Sweden","Economics",-2.85695092262014,0.353013224604148
"Sweden_Economics",11220,2006,107,6,"Sweden","Economics",0.943735110973938,0.118063165842806
"Sweden_Economics",11220,2010,19,7,"Sweden","Economics",1.29389705071171,0.238347809190444
"Sweden_Economics",11220,2014,31,8,"Sweden","Economics",-0.296849338109512,0.176620067163729
"Sweden_Economics",11220,2018,24,9,"Sweden","Economics",0.103292704907418,0.208512349358717
"Sweden_Economics",11220,2022,39,10,"Sweden","Economics",0.626310266066045,0.145173604777204
"Sweden_Economics",11320,2006,75,11,"Sweden","Economics",1.2117046733974,0.130680931530484
"Sweden_Economics",11320,2010,37,12,"Sweden","Economics",1.12796552514611,0.187933174735516
"Sweden_Economics",11320,2014,58,13,"Sweden","Economics",-0.0502737708948718,0.127048242209031
"Sweden_Economics",11320,2018,20,14,"Sweden","Economics",-0.729948665862409,0.191535162385759
"Sweden_Economics",11320,2022,45,15,"Sweden","Economics",-0.024907419574304,0.153587449693007
"Sweden_Economics",11420,2006,118,16,"Sweden","Economics",1.20833905510078,0.0977966041138486
"Sweden_Economics",11420,2010,146,17,"Sweden","Economics",0.881025187398601,0.102191279692557
"Sweden_Economics",11420,2014,26,18,"Sweden","Economics",-0.297372708775712,0.214222452746481
"Sweden_Economics",11420,2018,48,19,"Sweden","Economics",-0.44058077564859,0.161991450978445
"Sweden_Economics",11420,2022,60,20,"Sweden","Economics",-0.191917443708482,0.126977515380585
"Sweden_Economics",11520,2006,29,21,"Sweden","Economics",0.0596449576916426,0.21617819185571
"Sweden_Economics",11520,2010,70,22,"Sweden","Economics",1.27323268737749,0.13486986936552
"Sweden_Economics",11520,2014,35,23,"Sweden","Economics",0.0876918468824673,0.176311104495335
"Sweden_Economics",11520,2018,5,24,"Sweden","Economics",0.10791668768538,0.646926665038083
"Sweden_Economics",11520,2022,8,25,"Sweden","Economics",-1.72890030665864,0.36276443011611
"Sweden_Economics",11620,2006,204,26,"Sweden","Economics",1.34856199390366,0.0718216589025897
"Sweden_Economics",11620,2010,481,27,"Sweden","Economics",1.36860888517417,0.0519710375587851
"Sweden_Economics",11620,2014,230,28,"Sweden","Economics",0.753394766203453,0.0648355732722742
"Sweden_Economics",11620,2018,109,29,"Sweden","Economics",0.0058603750532551,0.114813474854173
"Sweden_Economics",11620,2022,80,30,"Sweden","Economics",-0.59923762155848,0.115942968185432
"Sweden_Economics",11710,2010,21,31,"Sweden","Economics",1.26052404934061,0.300246496479408
